perl-AnyEvent-WebSocket-Client	0.55
perl-AnyEvent-WebSocket-Server	0.10
perl-Apache-ASP	2.63
perl-Apache-AuthCookie	3.31
perl-Apache-AuthNetLDAP	0.29
perl-Apache-ConfigParser	1.02
perl-Apache-DBI	1.12
perl-Apache-Filter	1.024
perl-Apache-Gallery	1.0.2
perl-Apache-Htpasswd	1.9
perl-Apache-LogFormat-Compiler	0.36
perl-Apache-Session	1.94
perl-Apache-Session-Wrapper	0.34
perl-Apache-SessionX	2.01
perl-Apache-Test	1.43
perl-Apache2-AuthCookieDBI	2.19
perl-Apache2-SOAP	0.73
perl-App-BundleDeps	0.00006
perl-App-CELL	0.231
perl-App-CLI	0.52
perl-App-Cache	0.37
perl-App-ChangeShebang	0.10
perl-App-Cmd	0.335
perl-App-Cme	1.038
perl-App-FatPacker	0.010008
perl-App-Genpass	2.401
perl-App-GitHooks	1.9.0
perl-App-LDAP	0.06
perl-App-MFILE	0.182
perl-App-MFILE-WWW	0.176
perl-App-Maisha	0.22
perl-App-Nopaste	1.013
perl-App-Options	1.12
perl-App-Prolix	0.03
perl-App-Rad	1.05
perl-App-Rad-Plugin-MoreHelp	0.0001
perl-App-SVN-Bisect	1.1
perl-App-SerializeUtils	0.11
perl-App-Sqitch	1.3.1
perl-App-Termcast	0.13
perl-App-XML-DocBook-Builder	0.1100
perl-App-ZofCMS	1.001008
perl-App-cpanminus	1.7046
perl-App-cpm	0.997011
perl-App-gcal	1.120860
perl-App-htmlcat	0.01
perl-App-p	0.0400
perl-App-perlbrew	0.97
perl-App-perlfind	2.07
perl-App-rsync-retry	0.007
perl-AppConfig	1.71
perl-AppConfig-Std	1.10
perl-Arch	0.5.2
perl-Archive-Any	0.0946
perl-Archive-Any-Create	0.03
perl-Archive-Any-Lite	0.11
perl-Archive-Cpio	0.10
perl-Archive-Extract	0.88
perl-Archive-Peek	0.37
perl-Archive-Tar	3.02
perl-Archive-Tar-Wrapper	0.38
perl-Archive-Zip	1.68
perl-Argv	1.28
perl-Array-Compare	3.0.8
perl-Array-Diff	0.09
perl-Array-IntSpan	2.004
perl-Array-Unique	0.09
perl-Array-Window	1.02
perl-Astro-FITS-Header	3.09
perl-Async	0.14
perl-Attean	0.033
perl-Audio-CD	0.04
perl-Audio-FLAC-Header	2.4
perl-Audio-Mixer	0.7
perl-Audio-Musepack	1.0.1
perl-Audio-RPLD	0.007_0.1beta6
perl-Audio-Scan	1.01
perl-Audio-WMA	1.3
perl-Audio-Wav	0.14
perl-AudioFile-Info	2.0.2
perl-Authen-Captcha	1.024
perl-Authen-DecHpwd	2.007
perl-Authen-PAM	0.16
perl-Authen-Passphrase	0.008
perl-Authen-SASL	2.16
perl-Authen-SASL-Cyrus	0.13
perl-Authen-Simple	0.5
perl-Authen-Simple-Passwd	0.6
perl-AutoLoader	5.74
perl-B-COW	0.007
perl-B-Compiling	0.06
perl-B-Debug	1.26
perl-B-Deobfuscate	0.20
perl-B-Flags	0.17
